number,option1,option2,option1Votes,option2Votes,recommended,active,available,hidden,like,dislike,cat
138,Have Invincibility,Have Telekinesis,37072,45521,0,1,1,0,0,0,
139,Live in a loud city,Live in a secluded area 10 miles from anyone,45506,36261,0,1,1,0,0,0,
140,Travel your country for free but only by train,Travel the world for free but only by boat,28242,32837,0,1,1,0,0,0,
141,Be able to fly planes,Be able to sail boats,50238,11913,0,1,1,0,0,0,
142,Be able to control water,Be able to control fire,43371,18173,0,1,1,0,0,0,
143,Unstable career but make $1m/year,Stable career but make $125k/year,33719,27924,0,1,1,0,0,0,
144,Be smart but heavily relied upon,Be stupid but completely taken care of,40306,20338,0,1,1,0,0,0,
145,Have a 3D printer that can only make food,Have a normal 3d printer that can only make objects,36625,24932,0,1,1,0,0,0,
146,Be granted one wish per year without changing the past,Be able to go back in time and fix one mistake per year,44248,16479,0,1,1,0,0,0,
147,Never kill insects,Have someone die anytime you kill an insect,43512,18144,0,1,1,0,0,0,
148,Have ten extra toes,Have ten extra fingers,24506,37279,0,1,1,0,0,0,
149,Only watch movies,Only listen to music,20574,41391,0,1,1,0,0,0,
150,Always have an itch somewhere on your body,Always have the feeling of an insect crawling on you,43607,17193,0,1,1,0,0,0,
151,Have family but no friends,Have friends but no family,40046,21451,0,1,1,0,0,0,
152,Double your IQ,Double your wealth,43720,18567,0,1,1,0,0,0,
153,Always be cold,Always be hot,42895,18940,0,1,1,0,0,0,
154,Be a dog,Be a cat,30598,31770,0,1,1,0,0,0,
155,Transform into any object,Transform into any animal,18842,42772,0,1,1,0,0,0,
156,Have a partner that does not like you,Never have a partner,14496,47191,0,1,1,0,0,0,
157,Only Drink Coca-Cola,Only Drink Pepsi,40325,21705,0,1,1,0,0,0,
158,Have nothing to drink,Have nothing to eat,25773,36180,0,1,1,0,0,0,
159,Stub your toe everytime you walk,Stumble every time you walk up/down stairs,16596,44115,0,1,1,0,0,0,
160,Live on another planet,Live on a private island,14984,46968,0,1,1,0,0,0,
161,Go permanently bald,Have uncontrollable hair growth,28744,33136,0,1,1,0,0,0,
162,Loose your eyebrows,Loose all the hair on your head,34655,26783,0,1,1,0,0,0,
163,Have super strength,Have super speed,22556,39306,0,1,1,0,0,0,
164,Have the ability to fly,Have the ability to breathe underwater,45541,16263,0,1,1,0,0,0,
165,Win the lottery,Find true love,35655,26293,0,1,1,0,0,0,
166,Have all the power in the world,Have all the knowledge in the world,24397,37157,0,1,1,0,0,0,
167,Travel the world,Stay in one place and explore everything it has to offer,51482,10053,0,1,1,0,0,0,
168,Read people's thoughts,Read people's memories,45645,16047,0,1,1,0,0,0,
169,Live in a world without war,Live in a world without poverty,33549,27878,0,1,1,0,0,0,
170,Be able to heal anyone,Be able to bring dead people back to life,37430,24470,0,1,1,0,0,0,
171,Poop your pants in public,Pee your pants in public,16129,45641,0,1,1,0,0,0,
172,Be punched once a day,Be kicked twice a day,43442,18367,0,1,1,0,0,0,
173,Only have 5 hours of a day fully alert,Have a full 14 hour day but be exhausted,36537,23454,0,1,1,0,0,0,
174,Be stuck on the streets for the rest of your life,Be stuck in your home for the rest of your life,20300,40873,0,1,1,0,0,0,
175,Always have your fingers caught in the door,Always receive a splinter when touching a door,19982,40563,0,1,1,0,0,0,
176,Only eat sweet food,Only eat spicy food,29584,32450,0,1,1,0,0,0,
177,Be stuck outside in a tornado,Be stuck outside during a hurricane,32185,29174,0,1,1,0,0,0,
178,Receive a life prison sentence,Recieve the death penalty,27320,34219,0,1,1,0,0,0,
179,Only be able to dance,Only be able to sing,21837,40217,0,1,1,0,0,0,
180,Always have a pebble in your shoe,Always have wet socks,42890,18796,0,1,1,0,0,0,
181,Have to kill five people you know,Have to kill one stranger,8947,52727,0,1,1,0,0,0,
182,Never get sick,Never have to sleep,39855,22147,0,1,1,0,0,0,
183,Host a party,Attend a party,12863,49078,0,1,1,0,0,0,
184,Be a leader and make decisions for others,Be a follower and let others make the decisions for you,47995,13385,0,1,1,0,0,0,
185,Have a great memory,Have a great sense of humor,32767,28724,0,1,1,0,0,0,
186,Be able to cook like a professional chef,Sing like a professional singer,36907,24559,0,1,1,0,0,0,
187,Date someone that is similar to you,Date someone who is very different from you,40675,20179,0,1,1,0,0,0,
188,Never experience happiness,Never experience sadness (neutral emotion),7756,54158,0,1,1,0,0,0,
189,Travel to a new destination each year,Revisit your favorite destination repeatedly each year,45820,14897,0,1,1,0,0,0,
190,"Have a long, fulfilling career with modest success",Short but highly successful career,28921,32004,0,1,1,0,0,0,
191,"Have a reliable, practical car",Have a luxury car that requires tedious weekly maintenance,48083,13026,0,1,1,0,0,0,
192,Be a perfect artist,Be a perfect mathematician,32326,29530,0,1,1,0,0,0,
193,Have a physically abusive partner,Have an emotionally abusive partner,29286,31374,0,1,1,0,0,0,
194,Live under a constant COVID Lockdown,Live freely but risk spreading COVID,22891,38583,0,1,1,0,0,0,
195,Always be right,Always get what you want,15607,46440,0,1,1,0,0,0,
196,Be unable to listen to new music,Be unable to relisten to music,47439,14132,0,1,1,0,0,0,
197,Lie for a friend cheating on their GF/BF,Snitch on a friend cheating on their GF/BF,28465,32320,0,1,1,0,0,0,
198,Have 1 million Tik Tok followers,Have 1 million Instagram followers,22948,38810,0,1,1,0,0,0,
199,Have very bad spring allergies,Have a very bad Flu strain each winter,34090,26786,0,1,1,0,0,0,
200,Be ghosted by your crush,Be told you aren't liked by your crush,20968,40470,0,1,1,0,0,0,
201,Be able to control the weather but only within a 5 mile radius,Be able to control the global weather but for ten minutes at a time,41304,19090,0,1,1,0,0,0,
202,See the future but be unable to change it,Change the future but be unable to foresee the consequences,31242,29353,0,1,1,0,0,0,
203,Have a home pool,Have a home hot tub,38990,22415,0,1,1,0,0,0,
204,Always be the center of attention,Always be an observer,22132,39491,0,1,1,0,0,0,
205,Be the first to arrive at parties,Be the last to leave parties,33645,27803,0,1,1,0,0,0,
206,Get struck by lightning,Get hit by large falling rocks,48699,13201,0,1,1,0,0,0,
207,Have to bike everywhere,Have to rely solely on public transportation,28923,32083,0,1,1,0,0,0,
208,Only eat candy,Only eat cake,24864,37101,0,1,1,0,0,0,
209,Always yell when talking,Always whisper when talking,18054,43682,0,1,1,0,0,0,
210,Be good at something but have no passion,Have a passion for something but not be good at it,38507,22364,0,1,1,0,0,0,
211,Lose the ability to talk,Lose the ability to hear,48386,13259,0,1,1,0,0,0,
212,Have a personal maid,Have a personal assistant,25180,36528,0,1,1,0,0,0,
213,Be reincarnated with your past memories but no skill,Be reincarnateed with your past skills but not memory,30505,29957,0,1,1,0,0,0,
214,Get a brain freeze every time you drink anything,Get a toothache every time you eat anything,48761,12355,0,1,1,0,0,0,
215,Always have dry lips,Always have dry eyes,48699,13555,0,1,1,0,0,0,
216,Say thank you every time someone insults you,Say screw you anytime someone compliments you,53376,8434,0,1,1,0,0,0,
217,Screem every time you are touched,Flinch every time you are touched,9104,51877,0,1,1,0,0,0,
218,Be the only person that doesn't get to live forever,Be the only person that lives forever,38008,22770,0,1,1,0,0,0,
219,Be hated for always doing the right thing,Be loved for always doing the wrong thing,35651,25907,0,1,1,0,0,0,
220,Be a cannibal,Be an entomophage (eat insects),1522,3358,0,1,1,0,0,0,
221,Go to jail for one year,Receive two years of house arrest,824,2310,0,1,1,0,0,0,
222,Have a painless death right now,Stay alive but have a very painful death when the unknown time comes,1491,1558,0,1,1,0,0,0,
223,Receive a life prison sentence,Recieve the death penalty,1439,1661,0,1,1,0,0,0,
224,Have the ability to create anything,Have the ability to destroy anything,2750,315,0,1,1,0,0,0,
225,Only be able to kiss your spouse,Only be able to hug your spouse,1754,1303,0,1,1,0,0,0,
226,Kill someone but have no one know,Don't kill anyone but have everyone think you did,2406,690,0,1,1,0,0,0,
227,Be immortal but paralytic (unable to move),Be mortal without any major medical issues,274,2806,0,1,1,0,0,0,
228,Never be able to lie,Never be able to tell the truth,2522,556,0,1,1,0,0,0,
229,Go to public school,Be homeschooled,2355,780,0,1,1,0,0,0,
230,Never listen to music again,Always hear music playing,819,2314,0,1,1,0,0,0,
231,Have to go to school in a shopping cart pushed by your mom,Have to go to school in a wagon pulled by your dad,1156,1910,0,1,1,0,0,0,
232,Be a great painter,Be a great sculptor,2171,907,0,1,1,0,0,0,
233,Only be able to swim in pools with hot water,Only be able to swim in pools with very cold water,1515,1621,0,1,1,0,0,0,
234,Have a brain freeze every time you drink,Have a toothache every time you eat,2441,629,0,1,1,0,0,0,
235,"Always have a runny, stuffy nose","Always have a mild, dry cough",1056,1965,0,1,1,0,0,0,
236,Drink water from a flushed public toilet,Lick a public bathroom floor,1205,1834,0,1,1,0,0,0,
237,Never be able to see your best friend(s) again,Never be able to see your pet(s) again,983,2027,0,1,1,0,0,0,
238,Never be able to watch movies,Never be able to watch tv shows,1263,1719,0,1,1,0,0,0,
239,Never experience romantic love at all,Discover your true love but be unable to have them,1718,1290,0,1,1,0,0,0,
240,Only drink water,Only drink soda,2721,389,0,1,1,0,0,0,
241,Poop on yourself once a day,Pee on yourself once a day,391,2788,0,1,1,0,0,0,
242,Marry your enemy but you will slowly become COMPATIBLE,Marry your crush but you will slowly become INCOMPATIBLE,2556,572,0,1,1,0,0,0,
243,Be the smartest but everyone thinks your dumb,Be the dumbest but everyone thinks you're smart,2603,521,0,1,1,0,0,0,
244,Be the ONLY person that DOESN'T get to live forever,Be the ONLY person that GETS TO live forever,1841,1259,0,1,1,0,0,0,
245,Have a romantic relationship with a dog,Have a romantic relationship with a cat,1631,1388,0,1,1,0,0,0,
246,Tongue-kiss a dog/cat,Tongue-kiss a stranger's armpit,1713,1318,0,1,1,0,0,0,
247,Play video games for the rest of your life,Watch movies for the rest of your life,2130,1008,0,1,1,0,0,0,
248,Double your waist size,Double your height,793,2274,0,1,1,0,0,0,
249,Always have a random taste in your mouth,Be unable to have taste in your mouth,2028,1066,0,1,1,0,0,0,
250,Be blind,Be deaf,515,2551,0,1,1,0,0,0,
251,Be able to slow down time,Be able to speed up time,2485,607,0,1,1,0,0,0,
252,Have only one hand,Have only one leg,1710,1397,0,1,1,0,0,0,
253,Always be lonely,Always be surrounded by others,965,2066,0,1,1,0,0,0,
254,Have your eyes ripped out of their sockets,Have your tongue ripped out of your mouth,739,2270,0,1,1,0,0,0,
255,Have more time,Have more money,1277,1806,0,1,1,0,0,0,
256,Be in your favorite video game,Be on your favorite show,1525,1555,0,1,1,0,0,0,
257,Have free public transportation,Have free public utilities,1455,1554,0,1,1,0,0,0,
258,Live in a DC world,Live in a Marvel world,787,2292,0,1,1,0,0,0,
259,Live through the 9/11 attack in the U.S,Live through the bombing in Hiroshima,2481,501,0,1,1,0,0,0,
260,Be the only child in your family,Have a lot of siblings,1536,1502,0,1,1,0,0,0,
261,"Become any vertebrate animal (Ex: Lion, Bird, Frog)","Become any invertebrate animal (Ex: Insects, Lobster, Jellyfish)",2603,399,0,1,1,0,0,0,
262,Be a super villain,Be a superhero,1226,1836,0,1,1,0,0,0,
263,Only celebrate your birthday,Only celebrate the birthdays' of others,1157,1910,0,1,1,0,0,0,
264,Live with people who are obsessed with you,Live with people who hate you,2574,490,0,1,1,0,0,0,
265,Live in a very chaotic society,Live in a strictly controlled society,1845,1206,0,1,1,0,0,0,
266,Be able to predict the actions of others,Be able to influence the actions of others,1433,1583,0,1,1,0,0,0,
267,Drink a shot of hot sauce,Drink a shot of soy sauce,1586,1578,0,1,1,0,0,0,
268,Have everything you eat taste like chicken,Have every voice you hear sound like Kanye West,1825,1147,0,1,1,0,0,0,
269,Marry your parents,Marry your siblings,658,2278,0,1,1,0,0,0,
270,Only drink water,Only drink soda,2697,405,0,1,1,0,0,0,
271,Have the ability to cure others of disease,Have the ability to only cure yourself of disease,2309,811,0,1,1,0,0,0,
272,Only be able to use curse words,Be mute,1916,1244,0,1,1,0,0,0,
273,Drink sewer water,Eat food in the sewer,971,2128,0,1,1,0,0,0,
274,Receive $1 million today,Receive $5 million in ten years (Not adjusted for inflation),1777,1275,0,1,1,0,0,0,
275,Go without shampoo for the rest of your life.,Go Without a comb/brush for the rest of your life.,1029,2086,0,1,1,0,0,0,
276,See who loves you,See who hates you,2228,885,0,1,1,0,0,0,
277,Bathe in vomit,Bathe in a pool filled with worms,1070,1936,0,1,1,0,0,0,
278,Have to kill your best friend,Have to kill your sibling,1979,1143,0,1,1,0,0,0,
279,Pineapple on pizza,No pineapple on pizza,859,2203,0,1,1,0,0,0,
280,Be 10 times smarter than the smartest person,Be 10 times stronger than the strongest person,2180,867,0,1,1,0,0,0,
281,Be super racist,Be super sexist,1403,1679,0,1,1,0,0,0,
282,Be able to hold your breath for ten minutes,Be able to hold notes for ten minutes when singing,2344,732,0,1,1,0,0,0,
283,Have someone die when you touch them,Have someone die when you make eye contact with them,1947,1140,0,1,1,0,0,0,
284,"Become a god, but with NO powers and be loved",Become satin with all powers and be hated,1777,1224,0,1,1,0,0,0,
285,Be mean to everyone that is nice to you,Be nice to everyone that is mean to you,610,2472,0,1,1,0,0,0,
286,Be single for life,Have a partner that acts like a child,1511,1547,0,1,1,0,0,0,
287,Have bad breath,Have smelly feet,441,2644,0,1,1,0,0,0,
288,Stay isolated for the rest of your life,Have no privacy for the rest of your life,1712,1325,0,1,1,0,0,0,
289,Have all knowledge but be unable to explain things,Have very limited knowledge but be good at explaining things,1898,1163,0,1,1,0,0,0,
290,Have a home gym,Have a home cinema,1604,1528,0,1,1,0,0,0,
291,Have an extra eye,Have an extra ear,2310,787,0,1,1,0,0,0,
292,Be funny but not cool,Be cool but not funny,1954,1205,0,1,1,0,0,0,
293,Lose both your arms,Lose both your legs,840,2252,0,1,1,0,0,0,
294,Get a flat tire,Run out of gas,1705,1402,0,1,1,0,0,0,
295,Only have spoons,Only have forks,1786,1262,0,1,1,0,0,0,
296,$200 every time you get hurt,$20 every time you help someone,2074,1170,0,1,1,0,0,0,
297,Be an Elder Sibling,Be a Younger Sibling,1581,1558,0,1,1,0,0,0,
298,Take care of animals in a shelter,Take care of children in an orphanage,1995,1042,0,1,1,0,0,0,
299,Have a medieval house,Have a modern house,616,2570,0,1,1,0,0,0,
300,Have a lazy partner,Have a stupid partner,1826,1276,0,1,1,0,0,0,
301,Always be too cold,Always be too hot,2263,847,0,1,1,0,0,0,
302,Spend 2 years in prison,Spend your weekends in prison for the next 5 years,1472,1571,0,1,1,0,0,0,
303,Live in Paris but feel depressed,Live in North Korea but feel happy,1825,1228,0,1,1,0,0,0,
304,Die before your partner,Die after your partner,1493,1525,0,1,1,0,0,0,
305,Always be with people but feel alone,Always be alone but not feel alone,923,2124,0,1,1,0,0,0,
306,Only speak in Morse code,Only speak in binary,1975,1074,0,1,1,0,0,0,
307,Be not cool but smart,Be cool but be dumb,2385,673,0,1,1,0,0,0,
308,Control Time,Control Space,2472,612,0,1,1,0,0,0,
309,Fight in an ancient war,Fight in a modern war,1735,1352,0,1,1,0,0,0,
310,Cheat on someone,Be cheated on,1283,1729,0,1,1,0,0,0,
311,Always be constipated,Always have diarrhea,1916,1180,0,1,1,0,0,0,
312,Have the power to do whatever you want without getting in trouble,Be able to change the probability of any outcome,1347,1605,0,1,1,0,0,0,
313,Have everyone doubt you but succeed,Have everyone believe in you but fail,2828,223,0,1,1,0,0,0,
314,Have your bus driver die while driving on a mountain,Have your pilot die while flying,2031,995,0,1,1,0,0,0,
315,Have your parachute fail while skydiving,Have an engine failure while flying a helicopter,1167,1852,0,1,1,0,0,0,
316,Have any item of clothing you want,Have any food item you want,1449,1572,0,1,1,0,0,0,
317,Stub your toe once every day,Whack your funny bone every other day,1193,1777,0,1,1,0,0,0,
318,Be the opposite sex for a day,Be an animal of your choosing for a day,1567,1487,0,1,1,0,0,0,
